"TaskName","TaskPath","State","RunAs","Author","Actions"
"{2C932742-413C-4B70-82C9-252094ED4C3C}","\",,"S-1-5-21-574005733-134644278-2547257380-1002",," "
"{66C2C36E-A363-434C-8E61-E488F0B116F7}","\",,"S-1-5-21-574005733-134644278-2547257380-1002",," "
"AMDLinkUpdate","\",,"lucas",,"C:\Program Files\AMD\CIM\Bin64\InstallManagerApp.exe -AMDLinkUpdate"
"CreateExplorerShellUnelevatedTask","\",,"lucas",,"C:\Windows\explorer.exe /NoUACCheck"
"iGoAudioTask","\",,"SYSTEM",,"C:\Windows\System32\DriverStore\FileRepository\igoaudioservice.inf_amd64_ddea067f7a4f87a6\iGoSwServer.exe --apo"
"iGoAudioTaskSession","\",,,,"C:\Windows\System32\DriverStore\FileRepository\igoaudioservice.inf_amd64_ddea067f7a4f87a6\iGoSwServer.exe --apo --server=session_monitor"
"Lucas - Macro Keypad MQTT Home Assistant Python Script","\",,"lucas",,"C:\Users\lucas\Documents\Code2025\ch57x-keyboard-tool-x86_64-pc-windows-msvc\start-cmd.bat "
"MicrosoftEdgeUpdateTaskMachineCore{940C4CBF-2861-4BC2-A8CF-7BBCA5563FEB}","\",,"SYSTEM",,"C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe /c"
"MicrosoftEdgeUpdateTaskMachineUA{64FD15D5-5696-47E1-90F4-8854B9A84FC8}","\",,"SYSTEM",,"C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe /ua /installsource scheduler"
"ModifyLinkUpdate","\",,,,"C:\Program Files\AMD\CIM\Bin64\InstallManagerApp.exe -UpdateCurrentUser"
"MSI_Center_S_CheckService","\",,,,"""C:\Program Files (x86)\MSI\MSI Center S\MSI_Center_S_Starter.exe"" CheckService"
"MSI_Center_S_RunAfterUnlock","\",,,,"""C:\Program Files (x86)\MSI\MSI Center S\MSI_Center_S_Starter.exe"" RunAfterUnlock"
"MSI_Center_S_Starter","\",,,,"C:\Program Files (x86)\MSI\MSI Center S\MSI_Center_S_Starter.exe "
"npcapwatchdog","\",,"SYSTEM",,"C:\Program Files\Npcap\CheckStatus.bat "
"OmApSvcBroker","\",,,,"C:\Program Files (x86)\MSI\MSI Center S\OmApSvcBroker.exe "
"OneDC_Updater","\",,,,"C:\Program Files (x86)\MSI\MSI_Center_S_Updater\OneDC_Updater.exe OneDragonCenter"
"OneDrive Reporting Task-S-1-5-21-574005733-134644278-2547257380-1002","\",,"S-1-5-21-574005733-134644278-2547257380-1002",,"%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe /reporting"
"OneDrive Reporting Task-S-1-5-21-574005733-134644278-2547257380-1005","\",,"lucas",,"%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe /reporting"
"OneDrive Reporting Task-S-1-5-21-574005733-134644278-2547257380-500","\",,"Administrator",,"%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe /reporting"
"OneDrive Standalone Update Task-S-1-5-21-574005733-134644278-2547257380-1002","\",,"S-1-5-21-574005733-134644278-2547257380-1002",,"%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe "
"OneDrive Standalone Update Task-S-1-5-21-574005733-134644278-2547257380-1005","\",,"lucas",,"%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe "
"OneDrive Standalone Update Task-S-1-5-21-574005733-134644278-2547257380-500","\",,"Administrator",,"%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe "
"OneDrive Startup Task-S-1-5-21-574005733-134644278-2547257380-1002","\",,"S-1-5-21-574005733-134644278-2547257380-1002",,"C:\Users\Darrin DeYoung\AppData\Local\Microsoft\OneDrive\25.170.0901.0002\OneDriveLauncher.exe /startInstances"
"OneDrive Startup Task-S-1-5-21-574005733-134644278-2547257380-1005","\",,"lucas",,"C:\Users\lucas\AppData\Local\Microsoft\OneDrive\26.026.0209.0004\OneDriveLauncher.exe /startInstances"
"OneDrive Startup Task-S-1-5-21-574005733-134644278-2547257380-500","\",,"Administrator",,"C:\Users\Administrator\AppData\Local\Microsoft\OneDrive\25.164.0824.0003\OneDriveLauncher.exe /startInstances"
"VivaldiUpdateCheck-f6dd674e9c805596","\",,"lucas",,"C:\Users\lucas\AppData\Local\Vivaldi\Application\update_notifier.exe --from-scheduler"
"ZoomUpdateTaskUser-S-1-5-21-574005733-134644278-2547257380-1005","\",,"lucas",,"""C:\Users\lucas\AppData\Roaming\Zoom\bin\Zoom.exe"" --action=UpdateSchedule"
