"Name","DisplayName","ProcessId","StartName","State","PathName"
"Sysmon","Sysmon","756","LocalSystem","Running","C:\Windows\Sysmon.exe"
"KeyIso","CNG Key Isolation","1876","LocalSystem","Running","C:\Windows\system32\lsass.exe"
"SamSs","Security Accounts Manager","1876","LocalSystem","Running","C:\Windows\system32\lsass.exe"
"VaultSvc","Credential Manager","1876","LocalSystem","Running","C:\Windows\system32\lsass.exe"
"RpcEptMapper","RPC Endpoint Mapper","1900","NT AUTHORITY\NetworkService","Running","C:\Windows\system32\svchost.exe -k RPCSS -p"
"RpcSs","Remote Procedure Call (RPC)","1900","NT AUTHORITY\NetworkService","Running","C:\Windows\system32\svchost.exe -k rpcss -p"
"BrokerInfrastructure","Background Tasks Infrastructure Service","2024","LocalSystem","Running","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"Power","Power","2024","LocalSystem","Running","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"DcomLaunch","DCOM Server Process Launcher","2024","LocalSystem","Running","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"PlugPlay","Plug and Play","2024","LocalSystem","Running","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"LSM","Local Session Manager","2024","LocalSystem","Running","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"DeviceInstall","Device Install Service","2024","LocalSystem","Running","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"SystemEventsBroker","System Events Broker","2024","LocalSystem","Running","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"DisplayEnhancementService","Display Enhancement Service","2320","LocalSystem","Running","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"PcaSvc","Program Compatibility Assistant Service","2320","LocalSystem","Running","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DeviceAssociationService","Device Association Service","2320","LocalSystem","Running","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"NcbService","Network Connection Broker","2320","LocalSystem","Running","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"TextInputManagementService","Text Input Management Service","2320","LocalSystem","Running","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","2320","LocalSystem","Running","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"WdiSystemHost","Diagnostic System Host","2320","LocalSystem","Running","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"TrkWks","Distributed Link Tracking Client","2320","LocalSystem","Running","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"HvHost","HV Host Service","2320","LocalSystem","Running","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"SensorService","Sensor Service","2320","LocalSystem","Running","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"SysMain","SysMain","2320","LocalSystem","Running","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"hidserv","Human Interface Device Service","2320","LocalSystem","Running","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"amdpmfservice","AMD PMF Service","2344","LocalSystem","Running","C:\Windows\System32\amdpmfservice.exe"
"BTAGService","Bluetooth Audio Gateway Service","2360","NT AUTHORITY\LocalService","Running","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted"
"RmSvc","Radio Management Service","2360","NT AUTHORITY\LocalService","Running","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted"
"SstpSvc","Secure Socket Tunneling Protocol Service","2368","NT Authority\LocalService","Running","C:\Windows\system32\svchost.exe -k LocalService -p"
"FontCache","Windows Font Cache Service","2368","NT AUTHORITY\LocalService","Running","C:\Windows\system32\svchost.exe -k LocalService -p"
"PhoneSvc","Phone Service","2368","NT Authority\LocalService","Running","C:\Windows\system32\svchost.exe -k LocalService -p"
"LicenseManager","Windows License Manager Service","2368","NT Authority\LocalService","Running","C:\Windows\System32\svchost.exe -k LocalService -p"
"nsi","Network Store Interface Service","2368","NT Authority\LocalService","Running","C:\Windows\system32\svchost.exe -k LocalService -p"
"fdPHost","Function Discovery Provider Host","2368","NT AUTHORITY\LocalService","Running","C:\Windows\system32\svchost.exe -k LocalService -p"
