"Name","DisplayName","State","StartMode","StartName","PathName"
"AarSvc_1f4c24","Agent Activation Runtime_1f4c24","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k AarSvcGroup -p"
"ADPSvc","ADPSvc","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"ALG","Application Layer Gateway Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\alg.exe"
"AMD Crash Defender Service","AMD Crash Defender Service","Running","Auto","LocalSystem","C:\Windows\System32\DriverStore\FileRepository\amdfendr.inf_amd64_1da2893e2ffb6838\amdfendrsr.exe"
"AMD External Events Utility","AMD External Events Utility","Running","Auto","LocalSystem","C:\Windows\System32\DriverStore\FileRepository\u0412269.inf_amd64_a4cc787315a2ff5b\B412205\atiesrxx.exe"
"amdpmfservice","AMD PMF Service","Running","Manual","LocalSystem","C:\Windows\System32\amdpmfservice.exe"
"AppIDSvc","Application Identity","Running","Manual","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Appinfo","Application Information","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"AppReadiness","App Readiness","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k AppReadiness -p"
"AppXSvc","AppX Deployment Service (AppXSVC)","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k wsappx -p"
"ApxSvc","Windows Virtual Audio Device Proxy Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Audiosrv","Windows Audio","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"autotimesvc","Cellular Time","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k autoTimeSvc"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k AxInstSVGroup"
"BcastDVRUserService_1f4c24","GameDVR and Broadcast User Service_1f4c24","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k BcastDVRUserService"
